タイトル,著者,リンク,画像URL,あらすじ
一次元の挿し木 (宝島社文庫 『このミス』大賞シリーズ),松下 龍之介,https://bookmeter.com/books/22416936,https://m.media-amazon.com/images/I/51mxzx-4pKL._SL500_.jpg,2025年第23回『このミステリーがすごい！』大賞・文庫グランプリ受賞作「謎の牽引力、ストーリーの面白さは、今回これがダントツ」大森 望（翻訳家・書評家）「古人骨のＤＮＡ鑑定が暴く驚くべき真相！」香山二三郎（コラムニスト）「謎の散らばせ方、話の運び方も上手く、最後までぐいぐい読ませました。文章も上手い」瀧井朝世（ライター）「文章力が圧倒的だし、魅力的な謎の提示、読者を惑わす情報を入れてくるタイミングなど、とにかく舌を巻く巧さだ」千街晶之（書評家）「遺伝人類学を専攻する主人公の専門家らしさもきちんと書けているし、一方で“ちゃぽん”という擬音の活かし方も巧みだ」村上貴史（書評家）「スケールが大きい陰謀劇であり、成長小説としての面白さも備えた作品。広げた風呂敷をきちんと畳み、物語の幕を閉じる技量に、自信を持って推す」川出正樹（書評家）二百年前の人骨のDNAが四年前に失踪した妹のものと一致!?ヒマラヤ山中で発掘された二百年前の人骨。大学院で遺伝学を学ぶ悠がＤＮＡ鑑定にかけると、四年前に失踪した妹のものと一致した。不可解な鑑定結果から担当教授の石見崎に相談しようとするも、石見崎は何者かに殺害される。古人骨を発掘した調査員も襲われ、研究室からは古人骨が盗まれた。悠は妹の生死と、古人骨のＤＮＡの真相を突き止めるべく動き出し、予測もつかない大きな企みに巻き込まれていく－－。
世界でいちばん透きとおった物語 (新潮文庫 す 31-2),杉井　光,https://bookmeter.com/books/21059020,https://m.media-amazon.com/images/I/51n5Xd1EYpL._SL500_.jpg,絶対に予測不能な衝撃のラスト――あなたの見る世界は『透きとおる』。　大御所ミステリ作家の宮内彰吾が、癌の闘病を経て61歳で死去した。　女癖が悪かった宮内は、妻帯者でありながら多くの女性と交際しており、そのうちの一人とは子供までつくっていた。それが僕だ。
傲慢と善良 (朝日文庫),辻村 深月,https://bookmeter.com/books/19991860,https://m.media-amazon.com/images/I/51EBTfMrA9L._SL500_.jpg,婚約者・坂庭真実が姿を消した。その居場所を探すため、西澤架は、彼女の「過去」と向き合うことになる。「恋愛だけでなく生きていくうえでのあらゆる悩みに答えてくれる物語」と読者から圧倒的な支持を得た作品が遂に文庫化。《解説・朝井リョウ》
アルジャーノンに花束を〔新版〕(ハヤカワ文庫NV),ダニエル・キイス,https://bookmeter.com/books/9521677,https://m.media-amazon.com/images/I/41AeCVTeKPL._SL500_.jpg,累計320万部の不朽の名作が新版に。野島伸司脚本監修、山下智久主演で連続ドラマ化が決定。知を求める青年チャーリイの苦悩と愛の物語。
君のクイズ (朝日文庫),小川 哲,https://bookmeter.com/books/22563236,https://m.media-amazon.com/images/I/51vZuJAcMSL._SL500_.jpg,あらすじ不明
新装版 青い壺 (文春文庫),有吉 佐和子,https://bookmeter.com/books/3846001,https://m.media-amazon.com/images/I/31X26TtuhvL._SL500_.jpg,無名の陶芸家が生んだ青磁の壺が売られ贈られ盗まれ、十余年後に作者と再会した時――。人生の数奇な断面を描き出す名作!シングルマザーの苦悩、すれ違う夫婦、相続争いに悩む娘の言葉を聴いてドキリとする親…人間の奥深く救うドロドロした心理を小気味よく、鮮やかに描き出す絶品の13話!
イクサガミ 人 (講談社文庫 い 148-4),今村 翔吾,https://bookmeter.com/books/22252132,https://m.media-amazon.com/images/I/41aY00OOG0L._SL500_.jpg,弱き者は皆、死んだ。「蠱毒」はこれからが本番だ。Netflixでドラマ化決定の超話題作、完結目前、疾風怒濤の第3巻!東海道を舞台にした「蠱毒」も、残り23人。人外の強さを誇る侍たちが島田宿で一堂に会した。血飛沫の舞う戦場に神と崇められる「台湾の伝説」が現れ、乱戦はさらに加速する――!数多の強敵を薙ぎ倒し、ついに東京へ辿り着いた愁二郎と双葉を待ち受ける運命とは。
博士の愛した数式 (新潮文庫),小川 洋子,https://bookmeter.com/books/573780,https://m.media-amazon.com/images/I/41U+6cdaLjL._SL500_.jpg,ぼくの記憶は80分しかもたない――あまりに悲しく暖かい奇跡の愛の物語。［ぼくの記憶は80分しかもたない］博士の背広の袖には、そう書かれた古びたメモが留められていた──記憶力を失った博士にとって、私は常に“新しい”家政婦。博士は“初対面”の私に、靴のサイズや誕生日を尋ねた。数字が博士の言葉だった。やがて私の10歳の息子が加わり、ぎこちない日々は驚きと歓びに満ちたものに変わった。あまりに悲しく暖かい、奇跡の愛の物語。第1回本屋大賞受賞。
正欲 (新潮文庫 あ 78-3),朝井 リョウ,https://bookmeter.com/books/21248535,https://m.media-amazon.com/images/I/313OVP4KBSL._SL500_.jpg,第19回 本屋大賞ノミネート！　第34回柴田錬三郎賞受賞作、待望の文庫化自分が想像できる”多様性”だけ礼賛して、秩序整えた気になって、そりゃ気持ちいいよな――。息子が不登校になった検事・啓喜。初めての恋に気づく女子大生・八重子。ひとつの秘密を抱える契約社員・夏月。ある事故死をきっかけに、それぞれの人生が重なり始める。だがその繫がりは、”多様性を尊重する時代＂にとって、ひどく不都合なものだった。読む前の自分には戻れない、気迫の長編小説。
マスカレード・ゲーム (集英社文庫),東野 圭吾,https://bookmeter.com/books/22522632,https://m.media-amazon.com/images/I/411ePY2Mx+L._SL500_.jpg,あらすじ不明
